Course,University,Department,Entry Requirements,URL
['Satellite Data Science - MSc'],['University of Leicester'],['Geography'],['2:2 degree (or equivalent) in a relevant subject. Non-standard qualification or professional experience in a relevant area may be considered.'],https://www.findamasters.com/common/clickCount.aspx?theid=63128&type=211&did=944&url=https%3a%2f%2fad.doubleclick.net%2fddm%2fclk%2f537409722%3b346013574%3bh
['Health Data Science - MSc/PGDip/PGCert'],['University of Birmingham'],['College of Medical and Dental Sciences'],"['A 2:1 undergraduate honours degree in a medical/life science (medicine, biology, chemistry, etc.) or quantitative science subject (computer science, mathematics, physics, etc.). Equivalent relevant work experience will also be considered for eligibility to enter the programme.']",https://www.findamasters.com/common/clickCount.aspx?theid=65006&type=211&did=4309&url=https%3a%2f%2fwww.birmingham.ac.uk%2fpostgraduate%2fcourses%2ftaught%2fmed%2fhealth-data-science.aspx
['Big Data - MSc'],['University of the West of Scotland'],"[""Master's courses in Computing""]","['We welcome Scottish, UK and international students and consider all applicants on an individual basis. ', ' ', 'You will normally possess an appropriate undergraduate qualification: Honours Degree (2.2 or above) in Computing/ Engineering (or relevant disciplines) from a UK academic institute or an equivalent 4-year international degree qualification. ', ' ', 'You may also be considered with other academic, vocational or professional qualifications deemed to be equivalent.']",https://www.findamasters.com/common/clickCount.aspx?theid=52376&type=211&did=6745&url=https%3a%2f%2fwww.uws.ac.uk%2fstudy%2fpostgraduate%2fpostgraduate-course-search%2fbig-data%2f
['MSc Data Analytics'],['University of Strathclyde'],['Department of Management Science'],"['MSc: Minimum second class Honours degree, or overseas equivalent (see our country pages for further information) in: ', ' ', 'mathematics ', 'the natural sciences ', 'engineering ', 'economics/finance ', ' ', 'Applications from those with other degrees are also encouraged if you have demonstrated a good grasp of numerical/quantitative subjects. ', ' ', 'There will be significant programming elements to the programme; many modules will require the student to use software packages such as Python and R, along with others. Students should have experience of working with programming languages, and a willingness to learn new ones.']",https://www.findamasters.com/common/clickCount.aspx?theid=46766&type=211&did=478&url=https%3a%2f%2fwww.strath.ac.uk%2fcourses%2fpostgraduatetaught%2fdataanalytics%2f
['Data Analytics MSc (PGCert PGDip)'],['University of Brighton'],"['School of Architecture, Technology and Engineering']","['Normally a 2:2 degree in a subject area with a substantial quantitative element (for example, maths, statistics, computer science, engineering, economics). Alternatively a 2:1 degree in any subject area will be considered if the applicant can demonstrate some familiarity with and aptitude for mathematics and statistics concepts and methods. ', ' ', 'Claims for the accreditation of prior (experiential) learning will also be considered. ', ' ', 'English language requirements: IELTS 6.5 overall with a minimum of 5.5 in each element. ', ' ', ' for details']",https://www.findamasters.com/common/clickCount.aspx?theid=33093&type=211&did=8325&url=https%3a%2f%2fwww.brighton.ac.uk%2fcourses%2fstudy%2fdata-analytics-msc-pgcert-pgdip.aspx%3futm_source%3dfind_a_masters%26utm_medium%3dcourse_listing%26utm_content%3ddata-analytics-msc-pgcert-pgdip%26utm_campaign%3dannual_pg
['Applied Data Science MSc'],['Swansea University'],['School of Mathematics and Computer Science'],"['A UK second class honours degree or equivalent in ANY degree that doesn’t include a strong mathematical or data science component, together with a GCSE in Mathematics at grade B (or equivalent). Applications will be considered from other candidates on case-by-case basis. ', ' ', ' IELTS 6.0 (with a minimum of 5.5 in each component) or equivalent English test. ', ' ', 'Please visit our website for more information on entry requirements for the Applied Data Science course.']",https://www.findamasters.com/common/clickCount.aspx?theid=71320&type=211&did=251&url=https%3a%2f%2fwww.swansea.ac.uk%2fpostgraduate%2ftaught%2fmaths-comp-sci%2fmathematics%2fmsc-applied-data-science%2f
['MDS Master of Data Science (Digital Humanities)'],['Durham University'],['Department of Computer Science'],"['A UK first or upper second class honours degree or equivalent in ANY degree that doesn’t include a strong data science component including those in social sciences, the arts and humanities, business, and sciences. ', ' ', 'Candidates with a degree in Arts and Humanities are strongly encouraged to apply.']",https://www.findamasters.com/common/clickCount.aspx?theid=63989&type=211&did=1411&url=https%3a%2f%2fwww.durham.ac.uk%2fstudy%2fcourses%2fmaster-of-data-science-digital-humanities-g5k923%2f
['Big Data Technologies MSc'],['University of Westminster'],['Data Science and Informatics'],"['A minimum of a lower second class honours degree (2:2) in IT or computing discipline, or in another discipline that either provides important underpinning for or insight into IT and computing, or it is closely related to it (e.g. sciences or engineering, business studies). If you do not have the required formal qualifications, you may be considered if you are already in employment and your role involves the use or support of the data modelling techniques and technologies covered in the course. ', ' ', 'Applicants are required to submit one academic reference.']",https://www.findamasters.com/common/clickCount.aspx?theid=47635&type=211&did=8442&url=https%3a%2f%2fwww.westminster.ac.uk%2fcomputer-science-and-engineering-data-science-and-informatics-courses%2f2023-24%2fseptember%2ffull-time%2fbig-data-technologies-msc
['MSc Data Science'],['University of Sheffield'],['Information School'],['Minimum 2:1 undergraduate honours degree.'],https://www.findamasters.com/common/clickCount.aspx?theid=66450&type=211&did=629&url=https%3a%2f%2fwww.sheffield.ac.uk%2fpostgraduate%2ftaught%2fcourses%2f2024%2fdata-science-msc
['MSc Data Science'],['Manchester Metropolitan University'],['Faculty of Science & Engineering'],"[""You'll need a UK honours degree in a STEM subject – at least a 2:2 – or the international equivalent. We might also consider applications with relevant lower-level qualifications, together with substantial professional experience in a related field. "", ' ', 'Overseas applicants will require IELTS with an overall score of 6.5 with no less than 5.5 in any category, or an equivalent accepted English qualification.']",https://www.findamasters.com/common/clickCount.aspx?theid=42442&type=211&did=2281&url=https%3a%2f%2fwww.mmu.ac.uk%2fstudy%2fpostgraduate%2fcourse%2fmsc-data-science
['Data Science - MSc/PGDip'],['Heriot-Watt University'],['School of Mathematical and Computer Sciences'],['Admission requires a good honours degree with a substantial academic component of Computing or IT that includes study of databases and programming.'],https://www.findamasters.com/common/clickCount.aspx?theid=56403&type=211&did=4400&url=https%3a%2f%2fwww.hw.ac.uk%2fuk%2fstudy%2fpostgraduate%2fdata-science.htm
['Big Data Science and Technology - MSc'],['University of Bradford'],['Faculty of Engineering & Digital Technologies'],"['2:2 or above in computer science, computer engineering, informatics or other computer-related subjects (including management disciplines such as finance, economics, business studies etc, dependant on the modules taken) from an approved degree-awarding body ', ' ', 'Candidates who do not fulfil the normal entry requirements but have extensive industrial experience in a related area are considered on an individual basis. ', ' ', 'English language requirements ', ' ', 'Minimum IELTS 6.0 or equivalent.']",https://www.findamasters.com/common/clickCount.aspx?theid=52845&type=211&did=7565&url=https%3a%2f%2fwww.bradford.ac.uk%2fcourses%2fpg%2fbig-data-science-and-technology%2f
['Data Science - MSc/PGDip'],['University of Salford'],"['School of Science, Engineering and the Environment']","['You will need a minimum second class division honours degree or equivalent in any discipline, with previous demonstrable mathematical aptitude e.g. (A-level or BTEC Mathematics). ', ' ', 'We also welcome enquiries from applicants who may not meet the formal/traditional entry criteria, but do hold relevant experience or skills that could facilitate successful postgraduate study. Through our Accreditation of Prior Learning (APL) process, we can consider your employment history and life experiences. Please contact our course enquiries team for further information. ', ' ', 'Visit the university website for further information on entry requirements.']",https://www.findamasters.com/common/clickCount.aspx?theid=42729&type=211&did=44&url=https%3a%2f%2fwww.salford.ac.uk%2fcourses%2fpostgraduate%2fdata-science
['MSc - Big Data Analytics'],['Birmingham City University'],"['Faculty of Computing, Engineering and the Built Environment']","['In order to be considered for a place on this course, you must have a 2:2 honours degree, or equivalent, in Computing or a computing-related subject with a substantial element of programming.']",https://www.findamasters.com/common/clickCount.aspx?theid=41362&type=211&did=3403&url=https%3a%2f%2fwww.bcu.ac.uk%2fcomputing%2fcourses%2fbig-data-analytics-msc-2024-25
['MDS Master of Data Science'],['Durham University'],['Department of Computer Science'],"['A UK first or upper second class honours degree or equivalent in ANY degree that doesn’t include a strong data science component including those in social sciences, the arts and humanities, business, and sciences.']",https://www.findamasters.com/common/clickCount.aspx?theid=63988&type=211&did=1411&url=https%3a%2f%2fwww.durham.ac.uk%2fstudy%2fcourses%2fmaster-of-data-science-g5k823%2f
['MSc Data Science'],['University of Essex'],"['School of Mathematics, Statistics and Actuarial Science']","['A degree with an overall mid 2.2 in one of the following subjects: Mathematics, Statistics, Operational research, Finance, Economics, Business Engineering, Computing, Biology, Physics or Chemistry. ', ' ', 'Applications from students with a 2:2 or equivalent will be considered dependent on any relevant professional or voluntary experience, previous modules studied and/or personal statement. ', ' ', 'We accept a wide range of qualifications from applicants studying in the EU and other countries. Get in touch with any questions you may have about the qualifications we accept. Remember to tell us about the qualifications you have already completed or are currently taking.']",https://www.findamasters.com/common/clickCount.aspx?theid=43119&type=211&did=1297&url=https%3a%2f%2fwww.essex.ac.uk%2fcourses%2fpg00742%2f1%2fmsc-data-science%3futm_campaign%3dnn-pg-advertising-campaign-2143%26utm_source%3dfind-a-masters%26utm_medium%3dcourse-listing%26utm_content%3dmsc-data-science
['Data Science MSc'],['University of Southampton'],['Faculty of Engineering and Physical Sciences'],"['You’ll need an upper 2:1 degree in one of the following subjects: ', ' ', 'computer science ', 'computer engineering ', 'software engineering ', 'mathematics/statistics ', ' ', 'You must also have an upper 2:1 score in the following modules: ', ' ', 'a programming module (e.g. MATLAB, Python, Java, C, C++, C#) ', 'an advanced maths module, ideally statistics and probability ', ' ', ' for details.']",https://www.findamasters.com/common/clickCount.aspx?theid=37394&type=211&did=6709&url=https%3a%2f%2fwww.southampton.ac.uk%2fcourses%2fdata-science-masters-msc%3futm_source%3d-pg-aggregator%26utm_medium%3d%26utm_content%3dcourse%26utm_campaign%3dPG2024
['MSc Data Science & Engineering'],['University of Dundee'],['Science & Engineering'],"['A UK Lower Second-Class Honours (2:2) degree ', 'Your degree should be in computing or a related subject that contains background knowledge including mathematics']",https://www.findamasters.com/common/clickCount.aspx?theid=33542&type=211&did=1448&url=https%3a%2f%2fwww.dundee.ac.uk%2fpostgraduate%2fdata-science-engineering%3futm_campaign%3dbrand-third-party-course-listing%26utm_medium%3dcourse-page%26utm_source%3dfind-a-masters
['MDS Master of Data Science (Health)'],['Durham University'],['Department of Computer Science'],"['A UK first or upper second class honours degree or equivalent in ANY degree that doesn’t include a strong data science component including those in social sciences, the arts and humanities, business, and sciences. ', ' ', 'Candidates with health-related and medicine degrees are strongly encouraged to apply.']",https://www.findamasters.com/common/clickCount.aspx?theid=68742&type=211&did=1411&url=https%3a%2f%2fwww.durham.ac.uk%2fstudy%2fcourses%2fmaster-of-data-science-health-g5p323%2f
['Data Science MSc'],['Northumbria University'],['Computer and Information Sciences'],"['A minimum of a 2:2 honours degree (or equivalent) in a quantitative subject such as computer / information science, engineering, maths, statistics, or a related discipline (e.g. IT, software engineering). Other subject qualifications, equivalent professional qualifications and/or relevant work experience will be considered on an individual basis. ', ' ', 'If you have studied a non UK qualification, you can see how your qualifications compare to the standard entry criteria, by selecting the country that you received the qualification in, from our country pages.']",https://www.findamasters.com/common/clickCount.aspx?theid=60160&type=211&did=8388&url=https%3a%2f%2fwww.northumbria.ac.uk%2fstudy-at-northumbria%2fcourses%2fdata-science-msc-dtfdsc6%2f%3f%3fsc_camp%3d%26utm_source%3dfind-a-masters%26utm_medium%3dreferral%26utm_campaign%3dpostgraduate_pg_24-25_sept_acquisition_x_x_x_x_x_x%26utm_term%3dfam-course-listing%26utm_content%3dlink-click
['MSc - Data Science'],"['Goldsmiths, University of London']",['Department of Computing'],"[""You'll gain a strong foundation in data science and specialist knowledge in a particular field. We do not assume that you will have programmed before, but we do require a level of mathematical dexterity that is commensurate with having completed a numerate degree. You'll have a BA or BSc Degree at 2.1 level or above in a subject such as computer science, mathematics, statistics, engineering, or quantitative subjects like economics and finance. "", ' ', ' for more']",https://www.findamasters.com/common/clickCount.aspx?theid=30500&type=211&did=2610&url=https%3a%2f%2fwww.gold.ac.uk%2fpg%2fmsc-data-science%2f
['Data Analytics MSc'],['London Metropolitan University'],['School of Computing and Digital Media'],"['You will be required to have: ', ' ', 'A 2.2 UK degree (or equivalent) in any discipline that involves an element of data analysis (applicants with relevant professional experience will also be considered) ', ' ', 'All applicants must be able to demonstrate proficiency in the English language. Applicants who require a Tier 4 student visa may need to provide a Secure English Language Test (SELT) such as Academic IELTS.']",https://www.findamasters.com/common/clickCount.aspx?theid=41005&type=211&did=4370&url=https%3a%2f%2fwww.londonmet.ac.uk%2fcourses%2fpostgraduate%2fdata-analytics---msc%2f
['MSc Data Science'],['Swansea University'],['School of Mathematics and Computer Science'],['Minimum 2:2 (or equivalent) in Computer Science or a related discipline.'],https://www.findamasters.com/common/clickCount.aspx?theid=46977&type=211&did=251&url=https%3a%2f%2fwww.swansea.ac.uk%2fpostgraduate%2ftaught%2fmaths-comp-sci%2fcomputer-science%2fmsc-data-science%2f
['MSc - Data Science'],['Loughborough University'],['Computer Science'],"['A 2:2 honours degree (or equivalent international qualification) in any discipline (except computer science). ', ' ', 'Applicants must meet the minimum English language requirements. Further details are available on the International website. ', ' ', 'Please see course website for further details.']",https://www.findamasters.com/common/clickCount.aspx?theid=61408&type=211&did=2290&url=https%3a%2f%2fwww.lboro.ac.uk%2fstudy%2fpostgraduate%2fmasters-degrees%2fa-z%2fdata-science%2f%3futm_source%3dfau%26utm_medium%3dcourse_listing%26utm_campaign%3dpgt_202425%26utm_term%3ddata_sci
['MSc - Data Science and Financial Technologies'],"['Goldsmiths, University of London']",['Department of Computing'],"['You’ll gain a strong foundation in data science and specialist knowledge in a particular field. We do not assume that you will have programmed before, but we do require a level of mathematical dexterity that is commensurate with having completed a numerate degree. ', ' ', 'You’ll require a BA or BSc Degree at 2.1 level or above in subjects like computer science, mathematics, statistics, engineering, economics or finance. ', ' ', ' for more']",https://www.findamasters.com/common/clickCount.aspx?theid=73101&type=211&did=2610&url=https%3a%2f%2fwww.gold.ac.uk%2fpg%2fmsc-data-science-financial-technologies%2f
['Data Science MSc'],['Coventry University'],"['Faculty of Engineering, Environment and Computing']","['An applicant will normally be expected to possess at least one of the following: ', ' ', '• A good honours degree or equivalent qualification. ', '• An unclassified degree in a relevant field plus professional experience.']",https://www.findamasters.com/common/clickCount.aspx?theid=62559&type=211&did=2694&url=https%3a%2f%2fwww.coventry.ac.uk%2fcourse-structure%2fpg%2feec%2fdata-science-msc%2f%3fterm%3d2022-23
['Data Intelligence - MSc'],['Canterbury Christ Church University'],"['Faculty of Science, Engineering and Social Sciences']","['You should be a digital and numerical literate graduate with a degree (2:2 or higher) in: ', ' ', 'STEM degree subjects or near STEM subjects (examples of near STEM subjects include: Economics, Informatics, Accountancy) ', 'Non-STEM degree subjects: if your degree is not related to STEM, you will also need an A level in maths.']",https://www.findamasters.com/common/clickCount.aspx?theid=65486&type=211&did=2710&url=https%3a%2f%2fwww.canterbury.ac.uk%2fstudy-here%2fcourses%2fpostgraduate%2fdata-intelligence
['MSc - Data Science and Artificial Intelligence'],"['Goldsmiths, University of London']",['Department of Computing'],"['You’ll gain a strong foundation in data science and specialist knowledge in a particular field. We do not assume that you’ll have programmed before, but we do require a level of mathematical dexterity that is commensurate with having completed a numerate degree. ', ' ', 'A BA or BSc Degree at 2.1 level or above in a subject like computer science, mathematics, statistics, engineering, or quantitative subjects like economics/finance. ', ' ', ' for more']",https://www.findamasters.com/common/clickCount.aspx?theid=73099&type=211&did=2610&url=https%3a%2f%2fwww.gold.ac.uk%2fpg%2fmsc-data-science-artificial-intelligence%2f
['MSc - Data Science and Econometrics'],"['Goldsmiths, University of London']",['Department of Computing'],"[""You'll gain a strong foundation in data science and specialist knowledge in a particular field. We do not assume that you will have programmed before, but we do require a level of mathematical dexterity that is commensurate with having completed a numerate degree. "", ' ', 'A BA or BSc Degree at 2.1 level or above in subjects such as: ', ' ', 'Computer science ', 'Mathematics ', 'Statistics ', 'Engineering ', 'Economics ', 'Finance ', 'Management ', 'Business ', 'Marketing ', ' ', ' for more']",https://www.findamasters.com/common/clickCount.aspx?theid=73100&type=211&did=2610&url=https%3a%2f%2fwww.gold.ac.uk%2fpg%2fmsc-data-science-econometrics%2f
['Big Data MSc'],['University of Stirling'],"['Business, Management and Law']",['A minimum of a second class honours degree or equivalent. Applicants without these formal qualifications but with significant appropriate/relevant work/life experience are encouraged to apply.'],https://www.findamasters.com/common/clickCount.aspx?theid=32281&type=211&did=8075&url=https%3a%2f%2fwww.stir.ac.uk%2fcourses%2fpg-taught%2fbig-data%2f
['Environmental Science (MSc)'],['University of St Andrews'],['Earth and Environmental Sciences'],[],https://www.findamasters.com/common/clickCount.aspx?theid=73419&type=287&did=8275&url=https%3a%2f%2fwww.st-andrews.ac.uk%2fsubjects%2fearth-environmental-sciences%2fenvironmental-science-msc%2f
['Applied Child Psychology - MSc'],['University of Sussex'],['School of Psychology'],"['You should normally have an upper second-class (2.1) undergraduate honours degree or above. ', ' ', 'Your qualification should be in psychology or a closely related subject such as neuroscience. Successful applicants will need to demonstrate relevant experience and training in research skills, a high level of statistical ability, and will normally have completed a research project or dissertation as part of their undergraduate studies. You may also be considered for the course if you have other professional qualifications or experience of equivalent standing.']",https://www.findamasters.com/common/clickCount.aspx?theid=73113&type=287&did=5355&url=https%3a%2f%2fwww.sussex.ac.uk%2fstudy%2fmasters%2fcourses%2fapplied-child-psychology-msc%3futm_source%3dfindamasters%26utm_medium%3dpaid_referral%26utm_campaign%3dna-uos-2024-pg-spsy-psy-mstr%26utm_content%3dapplied-child-psychology-featured-listing
['Cyber Security -  MSc/PgDip/PgCert'],['University of Roehampton'],"['School of Arts, Humanities, and Social Sciences']",['Students must have equivalent to a 2:2 UK degree in a STEM based subject.'],https://www.findamasters.com/common/clickCount.aspx?theid=72386&type=287&did=5831&url=https%3a%2f%2fad.doubleclick.net%2fddm%2fclk%2f580442234%3b389094280%3bk
['MSc Project Management'],['Ravensbourne University London'],['Digital Media and Design'],"['Applications are welcome from a wide range of backgrounds and experience including from students who may not necessarily possess formal academic qualifications. It is important that applicants can demonstrate an aptitude for learning and continued professional development through a research-led\xa0approach. ', ' ', 'Please visit the Ravensbourne website for entry requirements and information for each course. ', ' ']",https://www.findamasters.com/common/clickCount.aspx?theid=71456&type=287&did=6150&url=https%3a%2f%2fwww.ravensbourne.ac.uk%2fstudy%2fpostgraduate%2fmsc-project-management
['Fintech and Finance MSc'],['University of Greenwich'],['Business School'],"['You should have a relevant/numerate undergraduate degree at 2:2 or above, or equivalent qualification, from a recognised university or higher education institute. ', ' ', 'The University of Greenwich accepts a broad range of international qualifications for admission to our courses.']",https://www.findamasters.com/common/clickCount.aspx?theid=71199&type=287&did=3272&url=https%3a%2f%2fwww.gre.ac.uk%2fpostgraduate-courses%2fbus%2ffintech-and-finance-msc
['Digital Marketing - MSc'],['University of Roehampton'],['Faculty of Business and Law'],"['You should usually hold a second-class honours degree (certain programmes may require a 2:1) from a recognised British or overseas university. Advice on recognition can be obtained from the Admissions Office. ', ' ', ""Non-graduates with appropriate professional qualifications will be considered on an individual basis by Programme Conveners; contact details can be found on the individual programme page. Applicants will be expected to apply and register for the full master's award. "", ' ', ""Those with a third-class honours degree are encouraged to complete an application as we will consider an applicant's wider circumstances in making a decision on an application.""]",https://www.findamasters.com/common/clickCount.aspx?theid=60523&type=287&did=3022&url=https%3a%2f%2fad.doubleclick.net%2fddm%2fclk%2f580442240%3b389094280%3bh
['Cyber Security - MSc'],"['University of the West of England, Bristol']",['School of Computing and Creative Technologies'],"[""We normally require an honours degree at 2:2 or above in a computing-based degree or a similar technical discipline. It's essential to have a good knowledge of programming, so you should describe in detail your experience of programming languages in your application. C and Python are used extensively throughout the course and so ensuring you have a good understanding of these languages will be advantageous. "", ' ', 'If you do not meet the above grade requirements but have at least 12 months relevant professional experience and/ or equivalent qualifications, we will consider you on an individual basis.']",https://www.findamasters.com/common/clickCount.aspx?theid=52791&type=287&did=29&url=https%3a%2f%2fcourses.uwe.ac.uk%2fI9001%2fcyber-security%3futm_source%3dfindamasters%26utm_medium%3dfeatured-programmes%26utm_campaign%3duniquest%26utm_id%3d2024-international
['MSc Autonomous and Intelligent Systems'],['University of Sheffield'],['Department of Automatic Control & Systems Engineering'],"['Minimum 2:1 undergraduate honours degree in an engineering or mathematics subject. We may also consider science subjects with a significant amount of programming modules. ', ' ', 'We may also consider your application if you have a considerable level of relevant professional experience in the Engineering Industry.']",https://www.findamasters.com/common/clickCount.aspx?theid=52509&type=287&did=599&url=https%3a%2f%2fwww.sheffield.ac.uk%2fpostgraduate%2ftaught%2fcourses%2f2024%2fautonomous-and-intelligent-systems-msc
['Applied Statistics (on campus) MSc'],['University of Strathclyde'],['Department of Mathematics and Statistics'],"['Minimum second-class (2:2) Honours degree or overseas equivalent. ', ' ', 'Mathematical training to A Level or equivalent standard. ', ' ', 'Prospective students with relevant experience or appropriate professional qualifications are also welcome to apply. ', ' ', 'For Australia and Canada, normal degrees in relevant disciplines are accepted. ', ' ', 'Applicants are required to have some prior mathematical knowledge, eg A Level or equivalent in: ', ' ', 'calculus ', 'linear algebra ', 'differential equations']",https://www.findamasters.com/common/clickCount.aspx?theid=52294&type=287&did=6511&url=https%3a%2f%2fwww.strath.ac.uk%2fcourses%2fpostgraduatetaught%2fappliedstatistics%2f
['Genomics MSc'],['University of Southampton'],['Faculty of Medicine'],"['You generally need at least a 2:2 degree in a subject such as life sciences, computer science or medicine/nursing ', ' ', 'We may be able to accept applications that do not meet the degree requirements. This is usually where you have evidence of relevant professional qualifications or experience. ', ' ', 'This course is also available as an intercalated degree for undergraduate medical students, who have completed at least 3 years of their programme. ', ' ', 'You must also demonstrate an understanding of the basic principles of genetics. ', ' ', ' for details.']",https://www.findamasters.com/common/clickCount.aspx?theid=37607&type=287&did=573&url=https%3a%2f%2fwww.southampton.ac.uk%2fcourses%2fgenomics-masters-msc%3futm_medium%3dadvertising%26utm_source%3dcentral-general-findamasters%26utm_campaign%3dpg2024%26utm_content%3doptimised_courses
['MSc Human Osteology and Funerary Archaeology'],['University of Sheffield'],['Department of Archaeology'],"['Minimum 2:1 undergraduate honours degree in an arts, humanities or science subject. ', ' ', 'Your interest in and understanding of archaeology is more important than what you studied at undergraduate level: we may consider degrees in other subjects if you display an interest in archaeology in your application.']",https://www.findamasters.com/common/clickCount.aspx?theid=2284&type=287&did=598&url=https%3a%2f%2fwww.sheffield.ac.uk%2fpostgraduate%2ftaught%2fcourses%2f2024%2fhuman-osteology-and-funerary-archaeology-msc
['Transport Planning and the Environment - MSc'],['University of Leeds'],['Institute for Transport Studies'],"['A bachelor degree with a 2:1 (hons) in a related subject such as (but not limited to) engineering, environmental science, maths, physics, computing, natural sciences and quantitative subjects. ', ' ', 'Graduates from other disciplines and those with professional qualifications plus experience in the sector will also be considered.']",https://www.findamasters.com/common/clickCount.aspx?theid=1633&type=287&did=1045&url=https%3a%2f%2fcourses.leeds.ac.uk%2fa386%2ftransport-planning-and-the-environment-msc
['Medical Statistics (MSc)'],['London School of Hygiene & Tropical Medicine'],['Faculty of Epidemiology and Population Health'],"[""The normal minimum entrance qualification for registration at the School on a Master's programme is at least one of the following: "", '- a second-class honours degree of a UK university, or an overseas qualification of an equivalent standard, in a subject appropriate to that of the course of study to be followed ', 'or ', '- a registrable qualification appropriate to the course of study to be followed, in medicine, dentistry or veterinary studies ', ' ', 'Applications with an appropriate technical qualification, or equivalent qualification and experience from overseas, are also welcomed.']",https://www.findamasters.com/common/clickCount.aspx?theid=410&type=287&did=2333&url=https%3a%2f%2fwww.lshtm.ac.uk%2fstudy%2fcourses%2fmasters-degrees%2fmedical-statistics%3futm_source%3dfindamasters%26utm_medium%3dreferral_paid%26utm_campaign%3dec_pg24%26utm_content%3dsubject_medical_statistics_ads
"['Drug Discovery, Design and Synthesis MSc']",['University of Sussex'],['School of Life Sciences'],"['You should normally have a lower second-class (2.2) undergraduate honours degree or above. ', ' ', 'Your qualification should be in chemistry. Other closely related subjects such as biochemistry or biomedical science will also be considered. You may also be considered for the course if you have other professional qualifications or experience of equivalent standing.']",https://www.findamasters.com/common/clickCount.aspx?theid=72521&type=287&did=4269&url=www.sussex.ac.uk%2fstudy%2fmasters%2fcourses%2fdrug-discovery-design-and-synthesis-msc%3futm_source%3dfindamasters%26utm_medium%3dpaid_referral%26utm_campaign%3dpg-listings-lifesci%26utm_content%3ddrug-discovery
['MSc Performance Analysis in Football'],['Global Institute of Sport (GIS)'],['Master degrees'],"['Undergraduate degree - minimum 2:2 (ideally a 2:1) or international equivalent ', ' ', 'Some courses have additional industry qualifications and experience requirements. Where applicable, these requirements are outlined on each course page and will depend on previous academic or work experience. ', ' ', 'English language qualifications: Applicants from non-majority English speaking countries will be asked for an English qualification which tests Speaking, Listening, Reading and Writing and will be asked to achieve an overall IELTS score of 6.5 (minimum of 6.0 in each section) or recognised equivalent.']",https://www.findamasters.com/common/clickCount.aspx?theid=71274&type=287&did=8963&url=https%3a%2f%2fgis.sport%2fstudy%2fmasters-degrees%2fmsc-performance-analysis-in-football%2f%3futm_source%3dFindAMasters%26utm_medium%3dprofile%26utm_campaign%3dFindAMasters
['Applied Computer Science and Artificial Intelligence - MSc'],['University of Bradford'],['Faculty of Engineering & Digital Technologies'],"['A 2:2 in any discipline. ', ' ', 'English language requirements ', ' ', 'Minimum IELTS 6.0 (with subset scores not below 5.5) or equivalent. ', ' ', 'If you do not meet the IELTS requirement, you can take a University of Bradford pre-sessional English course. See the Language Centre for more details. For further information on English Language requirements please see the dedicated international entry requirements page.']",https://www.findamasters.com/common/clickCount.aspx?theid=71206&type=287&did=7565&url=https%3a%2f%2fwww.bradford.ac.uk%2fcourses%2fpg%2fapplied-computer-science-artificial-intelligence%2f%3futm_source%3dfind-a-masters%26utm_medium%3dfeatured-ad%26utm_campaign%3dpostgraduate-2023%26utm_id%3dfam-applied-cs-ai-featured-programme-ad%26utm_content%3dvisit-institution-button
['Science Communications - MSc'],['University of Glasgow'],"['College of Medical, Veterinary & Life Sciences']","['2:1 Honours degree or equivalent in a related subject area. Professional experience and 2:2 Honours degree with strong subject specific expertise may also be considered. ', ' ', 'This programme would primarily target life science or medical science graduates. Students with an interest in science communications who have a background in chemical sciences, physics, mathematics, computing or pharmacy may also be interested. In exceptional circumstances, other science graduates or bioscience graduates may be eligible on demonstration of appropriate postgraduate professional experience. ', ' ', ' for details.']",https://www.findamasters.com/common/clickCount.aspx?theid=70746&type=287&did=4814&url=https%3a%2f%2fwww.gla.ac.uk%2fpostgraduate%2ftaught%2fscience-communications%2f%3futm_source%3dfind-a-masters%26utm_medium%3dprofile%26utm_campaign%3dmar-mvls-pgt-scicomms%26utm_term%3dsciencecommsfeatured%26utm_content%3dlink
['Artificial Intelligence and Adaptive Systems MSc'],['University of Sussex'],['School of Engineering and Informatics'],"['You should normally have an upper second-class (2.1) undergraduate honours degree or above. ', ' ', 'Your qualification should be in a scientific or technical subject or other discipline (including computing and cognitive subjects) demonstrating either numeracy or computer literacy. You may also be considered for the course if you have other professional qualifications or experience of equivalent standing.']",https://www.findamasters.com/common/clickCount.aspx?theid=59935&type=287&did=4267&url=https%3a%2f%2fwww.sussex.ac.uk%2fstudy%2fmasters%2fcourses%2fartificial-intelligence-and-adaptive-systems-msc%3futm_source%3dfindamasters%26utm_medium%3dpaid_referral%26utm_campaign%3dpg-listings-enginf%26utm_content%3dartificial-intelligence-as
['MSc Biodiversity and Conservation'],['University of Sheffield'],['School of Biosciences'],['Minimum 2:2 undergraduate honours degree in biological sciences or a related subject.'],https://www.findamasters.com/common/clickCount.aspx?theid=54920&type=287&did=6220&url=https%3a%2f%2fwww.sheffield.ac.uk%2fpostgraduate%2ftaught%2fcourses%2f2024%2fbiodiversity-and-conservation-msc
